N,Fecha,Ciudad,Valor,Variable,Tipo,Escenario
102,11/06/2020,Bogotá D.C.,20775,Total,Real,Base
103,12/06/2020,Bogotá D.C.,21618,Total,Real,Base
104,13/06/2020,Bogotá D.C.,22305,Total,Real,Base
105,14/06/2020,Bogotá D.C.,22929,Total,Real,Base
106,15/06/2020,Bogotá D.C.,23778,Total,Real,Base
107,16/06/2020,Bogotá D.C.,24837,Total,Real,Base
108,17/06/2020,Bogotá D.C.,26039,Total,Real,Base
109,18/06/2020,Bogotá D.C.,27268,Total,Real,Base
110,19/06/2020,Bogotá D.C.,28664,Total,Real,Base
111,20/06/2020,Bogotá D.C.,30266,Total,Real,Base
112,21/06/2020,Bogotá D.C.,31409,Total,Real,Base
113,22/06/2020,Bogotá D.C.,32592,Total,Real,Base
114,23/06/2020,Bogotá D.C.,34085,Total,Real,Base
115,24/06/2020,Bogotá D.C.,35699,Total,Real,Base
116,25/06/2020,Bogotá D.C.,37436,Total,Real,Base
117,26/06/2020,Bogotá D.C.,39443,Total,Real,Base
118,27/06/2020,Bogotá D.C.,41591,Total,Real,Base
119,28/06/2020,Bogotá D.C.,43336,Total,Real,Base
120,29/06/2020,Bogotá D.C.,44833,Total,Real,Base
121,30/06/2020,Bogotá D.C.,46841,Total,Real,Base
122,1/07/2020,Bogotá D.C.,49621,Total,Real,Base
123,2/07/2020,Bogotá D.C.,52026,Total,Real,Base
124,3/07/2020,Bogotá D.C.,54615,Total,Real,Base
125,4/07/2020,Bogotá D.C.,57092,Total,Real,Base
126,5/07/2020,Bogotá D.C.,59182,Total,Real,Base
127,6/07/2020,Bogotá D.C.,61860,Total,Real,Base
128,7/07/2020,Bogotá D.C.,64391,Total,Real,Base
129,8/07/2020,Bogotá D.C.,67014,Total,Real,Base
130,9/07/2020,Bogotá D.C.,69452,Total,Real,Base
131,10/07/2020,Bogotá D.C.,72857,Total,Real,Base
132,11/07/2020,Bogotá D.C.,75290,Total,Real,Base
133,12/07/2020,Bogotá D.C.,77882,Total,Real,Base
134,13/07/2020,Bogotá D.C.,81043,Total,Real,Base
135,14/07/2020,Bogotá D.C.,84305,Total,Real,Base
136,15/07/2020,Bogotá D.C.,87404,Total,Real,Base
137,16/07/2020,Bogotá D.C.,90660,Total,Real,Base
138,17/07/2020,Bogotá D.C.,94062,Total,Real,Base
139,18/07/2020,Bogotá D.C.,97430,Total,Real,Base
140,19/07/2020,Bogotá D.C.,100378,Total,Real,Base
141,20/07/2020,Bogotá D.C.,103631,Total,Real,Base
142,21/07/2020,Bogotá D.C.,107098,Total,Real,Base
143,22/07/2020,Bogotá D.C.,110679,Total,Real,Base
144,23/07/2020,Bogotá D.C.,113985,Total,Real,Base
145,24/07/2020,Bogotá D.C.,117579,Total,Real,Base
146,25/07/2020,Bogotá D.C.,120714,Total,Real,Base
147,26/07/2020,Bogotá D.C.,123129,Total,Real,Base
148,27/07/2020,Bogotá D.C.,127280,Total,Real,Base
149,28/07/2020,Bogotá D.C.,130867,Total,Real,Base
150,29/07/2020,Bogotá D.C.,134571,Total,Real,Base
151,30/07/2020,Bogotá D.C.,137999,Total,Real,Base
152,31/07/2020,Bogotá D.C.,141386,Total,Real,Base
153,1/08/2020,Bogotá D.C.,145204,Total,Real,Base
154,2/08/2020,Bogotá D.C.,147853,Total,Real,Base
155,3/08/2020,Bogotá D.C.,151356,Total,Real,Base
156,4/08/2020,Bogotá D.C.,154618,Total,Real,Base
157,5/08/2020,Bogotá D.C.,157836,Total,Real,Base
158,6/08/2020,Bogotá D.C.,161202,Total,Real,Base
159,7/08/2020,Bogotá D.C.,163671,Total,Real,Base
160,8/08/2020,Bogotá D.C.,166704,Total,Real,Base
161,9/08/2020,Bogotá D.C.,168925,Total,Real,Base
162,10/08/2020,Bogotá D.C.,172458,Total,Real,Base
163,11/08/2020,Bogotá D.C.,175424,Total,Real,Base
164,12/08/2020,Bogotá D.C.,178925,Total,Real,Base
165,13/08/2020,Bogotá D.C.,182126,Total,Real,Base
166,14/08/2020,Bogotá D.C.,185183,Total,Real,Base
167,15/08/2020,Bogotá D.C.,187803,Total,Real,Base
168,16/08/2020,Bogotá D.C.,189873,Total,Real,Base
169,17/08/2020,Bogotá D.C.,191940,Total,Real,Base
170,18/08/2020,Bogotá D.C.,194728,Total,Real,Base
171,19/08/2020,Bogotá D.C.,197396,Total,Real,Base
172,20/08/2020,Bogotá D.C.,199958,Total,Real,Base
173,21/08/2020,Bogotá D.C.,202285,Total,Real,Base
174,22/08/2020,Bogotá D.C.,204269,Total,Real,Base
175,23/08/2020,Bogotá D.C.,205793,Total,Real,Base
176,24/08/2020,Bogotá D.C.,207547,Total,Real,Base
177,25/08/2020,Bogotá D.C.,209761,Total,Real,Base
178,26/08/2020,Bogotá D.C.,214229,Total,Real,Base
179,27/08/2020,Bogotá D.C.,216000,Total,Real,Base
180,28/08/2020,Bogotá D.C.,217649,Total,Real,Base
181,29/08/2020,Bogotá D.C.,219154,Total,Real,Base
182,30/08/2020,Bogotá D.C.,220292,Total,Real,Base
183,31/08/2020,Bogotá D.C.,221700,Total,Real,Base
184,1/09/2020,Bogotá D.C.,222766,Total,Real,Base
185,2/09/2020,Bogotá D.C.,223474,Total,Real,Base
186,3/09/2020,Bogotá D.C.,223515,Total,Real,Base
187,4/09/2020,Bogotá D.C.,223522,Total,Real,Base
0,27/02/2020,Bogotá D.C.,3.22E-08,Total,Ajuste,Base
1,28/02/2020,Bogotá D.C.,1.503418018,Total,Ajuste,Base
2,1/03/2020,Bogotá D.C.,2.937245512,Total,Ajuste,Base
3,4/03/2020,Bogotá D.C.,6.997512382,Total,Ajuste,Base
4,5/03/2020,Bogotá D.C.,7.58745836,Total,Ajuste,Base
5,6/03/2020,Bogotá D.C.,13.86059018,Total,Ajuste,Base
6,7/03/2020,Bogotá D.C.,20.98378806,Total,Ajuste,Base
7,8/03/2020,Bogotá D.C.,33.09788512,Total,Ajuste,Base
8,9/03/2020,Bogotá D.C.,37.71504512,Total,Ajuste,Base
9,10/03/2020,Bogotá D.C.,42.46652297,Total,Ajuste,Base
10,11/03/2020,Bogotá D.C.,55.38706342,Total,Ajuste,Base
11,12/03/2020,Bogotá D.C.,73.02775411,Total,Ajuste,Base
12,13/03/2020,Bogotá D.C.,95.13915313,Total,Ajuste,Base
13,14/03/2020,Bogotá D.C.,125.5985573,Total,Ajuste,Base
14,15/03/2020,Bogotá D.C.,165.2853756,Total,Ajuste,Base
15,16/03/2020,Bogotá D.C.,231.2814583,Total,Ajuste,Base
16,17/03/2020,Bogotá D.C.,302.8919573,Total,Ajuste,Base
17,18/03/2020,Bogotá D.C.,367.1301996,Total,Ajuste,Base
18,19/03/2020,Bogotá D.C.,421.4720103,Total,Ajuste,Base
19,20/03/2020,Bogotá D.C.,519.7902012,Total,Ajuste,Base
20,21/03/2020,Bogotá D.C.,612.4908604,Total,Ajuste,Base
21,22/03/2020,Bogotá D.C.,695.7881297,Total,Ajuste,Base
22,23/03/2020,Bogotá D.C.,749.6613514,Total,Ajuste,Base
23,24/03/2020,Bogotá D.C.,809.3524487,Total,Ajuste,Base
24,25/03/2020,Bogotá D.C.,853.6838056,Total,Ajuste,Base
25,26/03/2020,Bogotá D.C.,936.3422391,Total,Ajuste,Base
26,27/03/2020,Bogotá D.C.,1006.265675,Total,Ajuste,Base
27,28/03/2020,Bogotá D.C.,1089.336856,Total,Ajuste,Base
28,29/03/2020,Bogotá D.C.,1164.263987,Total,Ajuste,Base
29,30/03/2020,Bogotá D.C.,1225.403947,Total,Ajuste,Base
30,31/03/2020,Bogotá D.C.,1287.537408,Total,Ajuste,Base
31,1/04/2020,Bogotá D.C.,1331.466525,Total,Ajuste,Base
32,2/04/2020,Bogotá D.C.,1428.67889,Total,Ajuste,Base
33,3/04/2020,Bogotá D.C.,1483.646762,Total,Ajuste,Base
34,4/04/2020,Bogotá D.C.,1540.018124,Total,Ajuste,Base
35,5/04/2020,Bogotá D.C.,1640.402754,Total,Ajuste,Base
36,6/04/2020,Bogotá D.C.,1710.608298,Total,Ajuste,Base
37,7/04/2020,Bogotá D.C.,1810.728318,Total,Ajuste,Base
38,8/04/2020,Bogotá D.C.,1862.605677,Total,Ajuste,Base
39,9/04/2020,Bogotá D.C.,1937.170965,Total,Ajuste,Base
40,10/04/2020,Bogotá D.C.,1998.095036,Total,Ajuste,Base
41,11/04/2020,Bogotá D.C.,2112.634349,Total,Ajuste,Base
42,12/04/2020,Bogotá D.C.,2186.844467,Total,Ajuste,Base
43,13/04/2020,Bogotá D.C.,2260.368397,Total,Ajuste,Base
44,14/04/2020,Bogotá D.C.,2315.598303,Total,Ajuste,Base
45,15/04/2020,Bogotá D.C.,2385.006987,Total,Ajuste,Base
46,16/04/2020,Bogotá D.C.,2474.890271,Total,Ajuste,Base
47,17/04/2020,Bogotá D.C.,2619.724048,Total,Ajuste,Base
48,18/04/2020,Bogotá D.C.,2688.441671,Total,Ajuste,Base
49,19/04/2020,Bogotá D.C.,2799.851573,Total,Ajuste,Base
50,20/04/2020,Bogotá D.C.,2884.929534,Total,Ajuste,Base
51,21/04/2020,Bogotá D.C.,3015.267632,Total,Ajuste,Base
52,22/04/2020,Bogotá D.C.,3095.061853,Total,Ajuste,Base
53,23/04/2020,Bogotá D.C.,3166.088529,Total,Ajuste,Base
54,24/04/2020,Bogotá D.C.,3273.083738,Total,Ajuste,Base
55,25/04/2020,Bogotá D.C.,3359.753825,Total,Ajuste,Base
56,26/04/2020,Bogotá D.C.,3466.033666,Total,Ajuste,Base
57,27/04/2020,Bogotá D.C.,3600.788689,Total,Ajuste,Base
58,28/04/2020,Bogotá D.C.,3706.598112,Total,Ajuste,Base
59,29/04/2020,Bogotá D.C.,3867.755336,Total,Ajuste,Base
60,30/04/2020,Bogotá D.C.,3976.980583,Total,Ajuste,Base
61,1/05/2020,Bogotá D.C.,4091.367198,Total,Ajuste,Base
62,2/05/2020,Bogotá D.C.,4334.113646,Total,Ajuste,Base
63,3/05/2020,Bogotá D.C.,4491.699087,Total,Ajuste,Base
64,4/05/2020,Bogotá D.C.,4641.97108,Total,Ajuste,Base
65,5/05/2020,Bogotá D.C.,4795.215242,Total,Ajuste,Base
66,6/05/2020,Bogotá D.C.,5011.754728,Total,Ajuste,Base
67,7/05/2020,Bogotá D.C.,5264.451674,Total,Ajuste,Base
68,8/05/2020,Bogotá D.C.,5424.987109,Total,Ajuste,Base
69,9/05/2020,Bogotá D.C.,5659.7513,Total,Ajuste,Base
70,10/05/2020,Bogotá D.C.,5891.415727,Total,Ajuste,Base
71,11/05/2020,Bogotá D.C.,6264.214027,Total,Ajuste,Base
72,12/05/2020,Bogotá D.C.,6560.324074,Total,Ajuste,Base
73,13/05/2020,Bogotá D.C.,6844.312915,Total,Ajuste,Base
74,14/05/2020,Bogotá D.C.,7180.308382,Total,Ajuste,Base
75,15/05/2020,Bogotá D.C.,7480.705809,Total,Ajuste,Base
76,16/05/2020,Bogotá D.C.,7778.552505,Total,Ajuste,Base
77,17/05/2020,Bogotá D.C.,8082.514878,Total,Ajuste,Base
78,18/05/2020,Bogotá D.C.,8398.984438,Total,Ajuste,Base
79,19/05/2020,Bogotá D.C.,8832.176181,Total,Ajuste,Base
80,20/05/2020,Bogotá D.C.,9273.857649,Total,Ajuste,Base
81,21/05/2020,Bogotá D.C.,9768.065184,Total,Ajuste,Base
82,22/05/2020,Bogotá D.C.,10044.56573,Total,Ajuste,Base
83,23/05/2020,Bogotá D.C.,10447.67859,Total,Ajuste,Base
84,24/05/2020,Bogotá D.C.,10855.59975,Total,Ajuste,Base
85,25/05/2020,Bogotá D.C.,11204.10778,Total,Ajuste,Base
86,26/05/2020,Bogotá D.C.,11710.67526,Total,Ajuste,Base
87,27/05/2020,Bogotá D.C.,12092.37141,Total,Ajuste,Base
88,28/05/2020,Bogotá D.C.,12511.49313,Total,Ajuste,Base
89,29/05/2020,Bogotá D.C.,12964.05996,Total,Ajuste,Base
90,30/05/2020,Bogotá D.C.,13431.30409,Total,Ajuste,Base
91,31/05/2020,Bogotá D.C.,13832.15514,Total,Ajuste,Base
92,1/06/2020,Bogotá D.C.,14290.80829,Total,Ajuste,Base
93,2/06/2020,Bogotá D.C.,15077.46825,Total,Ajuste,Base
94,3/06/2020,Bogotá D.C.,15701.72684,Total,Ajuste,Base
95,4/06/2020,Bogotá D.C.,16160.61333,Total,Ajuste,Base
96,5/06/2020,Bogotá D.C.,16623.35965,Total,Ajuste,Base
97,6/06/2020,Bogotá D.C.,17315.11169,Total,Ajuste,Base
98,7/06/2020,Bogotá D.C.,18001.16806,Total,Ajuste,Base
99,8/06/2020,Bogotá D.C.,18477.45598,Total,Ajuste,Base
100,9/06/2020,Bogotá D.C.,19218.14871,Total,Ajuste,Base
101,10/06/2020,Bogotá D.C.,19819.93316,Total,Ajuste,Base
102,11/06/2020,Bogotá D.C.,20821.85157,Total,Ajuste,Base
103,12/06/2020,Bogotá D.C.,21672.25827,Total,Ajuste,Base
104,13/06/2020,Bogotá D.C.,22552.68006,Total,Ajuste,Base
105,14/06/2020,Bogotá D.C.,23210.52141,Total,Ajuste,Base
106,15/06/2020,Bogotá D.C.,23794.00758,Total,Ajuste,Base
107,16/06/2020,Bogotá D.C.,24694.82428,Total,Ajuste,Base
108,17/06/2020,Bogotá D.C.,25860.65276,Total,Ajuste,Base
109,18/06/2020,Bogotá D.C.,27182.08364,Total,Ajuste,Base
110,19/06/2020,Bogotá D.C.,28498.42248,Total,Ajuste,Base
111,20/06/2020,Bogotá D.C.,30009.23012,Total,Ajuste,Base
112,21/06/2020,Bogotá D.C.,31757.39965,Total,Ajuste,Base
113,22/06/2020,Bogotá D.C.,32836.38924,Total,Ajuste,Base
114,23/06/2020,Bogotá D.C.,33990.97928,Total,Ajuste,Base
115,24/06/2020,Bogotá D.C.,35572.33936,Total,Ajuste,Base
116,25/06/2020,Bogotá D.C.,37285.35729,Total,Ajuste,Base
117,26/06/2020,Bogotá D.C.,39128.93647,Total,Ajuste,Base
118,27/06/2020,Bogotá D.C.,41298.33044,Total,Ajuste,Base
119,28/06/2020,Bogotá D.C.,43600.3729,Total,Ajuste,Base
120,29/06/2020,Bogotá D.C.,45305.26227,Total,Ajuste,Base
121,30/06/2020,Bogotá D.C.,46688.97356,Total,Ajuste,Base
122,1/07/2020,Bogotá D.C.,48798.9571,Total,Ajuste,Base
123,2/07/2020,Bogotá D.C.,51911.99429,Total,Ajuste,Base
124,3/07/2020,Bogotá D.C.,54403.22637,Total,Ajuste,Base
125,4/07/2020,Bogotá D.C.,57110.97265,Total,Ajuste,Base
126,5/07/2020,Bogotá D.C.,59625.27293,Total,Ajuste,Base
127,6/07/2020,Bogotá D.C.,61603.96414,Total,Ajuste,Base
128,7/07/2020,Bogotá D.C.,64411.56626,Total,Ajuste,Base
129,8/07/2020,Bogotá D.C.,66974.67165,Total,Ajuste,Base
130,9/07/2020,Bogotá D.C.,69648.90696,Total,Ajuste,Base
131,10/07/2020,Bogotá D.C.,72054.56317,Total,Ajuste,Base
132,11/07/2020,Bogotá D.C.,75772.00031,Total,Ajuste,Base
133,12/07/2020,Bogotá D.C.,78070.37271,Total,Ajuste,Base
134,13/07/2020,Bogotá D.C.,80627.79383,Total,Ajuste,Base
135,14/07/2020,Bogotá D.C.,83961.70926,Total,Ajuste,Base
136,15/07/2020,Bogotá D.C.,87369.9014,Total,Ajuste,Base
137,16/07/2020,Bogotá D.C.,90506.09284,Total,Ajuste,Base
138,17/07/2020,Bogotá D.C.,93839.01771,Total,Ajuste,Base
139,18/07/2020,Bogotá D.C.,97340.08365,Total,Ajuste,Base
140,19/07/2020,Bogotá D.C.,100759.207,Total,Ajuste,Base
141,20/07/2020,Bogotá D.C.,103593.1836,Total,Ajuste,Base
142,21/07/2020,Bogotá D.C.,106875.648,Total,Ajuste,Base
143,22/07/2020,Bogotá D.C.,110434.3117,Total,Ajuste,Base
144,23/07/2020,Bogotá D.C.,114112.9531,Total,Ajuste,Base
145,24/07/2020,Bogotá D.C.,117385.6457,Total,Ajuste,Base
146,25/07/2020,Bogotá D.C.,121056.0117,Total,Ajuste,Base
147,26/07/2020,Bogotá D.C.,124080.0541,Total,Ajuste,Base
148,27/07/2020,Bogotá D.C.,126171.2539,Total,Ajuste,Base
149,28/07/2020,Bogotá D.C.,130710.9634,Total,Ajuste,Base
150,29/07/2020,Bogotá D.C.,134354.7343,Total,Ajuste,Base
151,30/07/2020,Bogotá D.C.,138134.7984,Total,Ajuste,Base
152,31/07/2020,Bogotá D.C.,141515.2418,Total,Ajuste,Base
153,1/08/2020,Bogotá D.C.,144855.4386,Total,Ajuste,Base
154,2/08/2020,Bogotá D.C.,148790.8134,Total,Ajuste,Base
155,3/08/2020,Bogotá D.C.,151109.7397,Total,Ajuste,Base
156,4/08/2020,Bogotá D.C.,154691.795,Total,Ajuste,Base
157,5/08/2020,Bogotá D.C.,157920.5177,Total,Ajuste,Base
158,6/08/2020,Bogotá D.C.,161100.1988,Total,Ajuste,Base
159,7/08/2020,Bogotá D.C.,164491.1971,Total,Ajuste,Base
160,8/08/2020,Bogotá D.C.,166664.2865,Total,Ajuste,Base
161,9/08/2020,Bogotá D.C.,169698.3221,Total,Ajuste,Base
162,10/08/2020,Bogotá D.C.,171637.3138,Total,Ajuste,Base
163,11/08/2020,Bogotá D.C.,175439.8603,Total,Ajuste,Base
164,12/08/2020,Bogotá D.C.,178384.2987,Total,Ajuste,Base
165,13/08/2020,Bogotá D.C.,182055.6822,Total,Ajuste,Base
166,14/08/2020,Bogotá D.C.,185262.9985,Total,Ajuste,Base
167,15/08/2020,Bogotá D.C.,188273.2629,Total,Ajuste,Base
168,16/08/2020,Bogotá D.C.,190710.3251,Total,Ajuste,Base
169,17/08/2020,Bogotá D.C.,192469.2727,Total,Ajuste,Base
170,18/08/2020,Bogotá D.C.,194331.2194,Total,Ajuste,Base
171,19/08/2020,Bogotá D.C.,197234.4768,Total,Ajuste,Base
172,20/08/2020,Bogotá D.C.,199935.4439,Total,Ajuste,Base
173,21/08/2020,Bogotá D.C.,202481.5468,Total,Ajuste,Base
174,22/08/2020,Bogotá D.C.,204716.0416,Total,Ajuste,Base
175,23/08/2020,Bogotá D.C.,206520.0838,Total,Ajuste,Base
176,24/08/2020,Bogotá D.C.,207766.4677,Total,Ajuste,Base
177,25/08/2020,Bogotá D.C.,209418.3232,Total,Ajuste,Base
178,26/08/2020,Bogotá D.C.,211724.5934,Total,Ajuste,Base
179,27/08/2020,Bogotá D.C.,217033.9126,Total,Ajuste,Base
180,28/08/2020,Bogotá D.C.,218419.0315,Total,Ajuste,Base
181,29/08/2020,Bogotá D.C.,219773.2596,Total,Ajuste,Base
182,30/08/2020,Bogotá D.C.,221035.414,Total,Ajuste,Base
183,31/08/2020,Bogotá D.C.,221887.2068,Total,Ajuste,Base
184,1/09/2020,Bogotá D.C.,223201.5606,Total,Ajuste,Base
185,2/09/2020,Bogotá D.C.,224087.554,Total,Ajuste,Base
186,3/09/2020,Bogotá D.C.,224553.6118,Total,Ajuste,Base
187,4/09/2020,Bogotá D.C.,224205.1025,Total,Ajuste,Base
188,5/09/2020,Bogotá D.C.,223945.6873,Total,Pronostico,Base
189,6/09/2020,Bogotá D.C.,224339.6618,Total,Pronostico,Base
190,7/09/2020,Bogotá D.C.,224703.8109,Total,Pronostico,Base
191,8/09/2020,Bogotá D.C.,225038.0471,Total,Pronostico,Base
192,9/09/2020,Bogotá D.C.,225342.3074,Total,Pronostico,Base
193,10/09/2020,Bogotá D.C.,225616.5518,Total,Pronostico,Base
194,11/09/2020,Bogotá D.C.,225860.763,Total,Pronostico,Base
195,12/09/2020,Bogotá D.C.,226074.9448,Total,Pronostico,Base
196,13/09/2020,Bogotá D.C.,226259.1218,Total,Pronostico,Base
197,14/09/2020,Bogotá D.C.,226413.3381,Total,Pronostico,Base
198,15/09/2020,Bogotá D.C.,226537.6566,Total,Pronostico,Base
199,16/09/2020,Bogotá D.C.,226632.1584,Total,Pronostico,Base
200,17/09/2020,Bogotá D.C.,226696.9412,Total,Pronostico,Base
201,18/09/2020,Bogotá D.C.,226732.1195,Total,Pronostico,Base
202,19/09/2020,Bogotá D.C.,226737.8227,Total,Pronostico,Base
203,20/09/2020,Bogotá D.C.,226714.1952,Total,Pronostico,Base
204,21/09/2020,Bogotá D.C.,226661.3954,Total,Pronostico,Base
205,22/09/2020,Bogotá D.C.,226579.5944,Total,Pronostico,Base
206,23/09/2020,Bogotá D.C.,226468.9762,Total,Pronostico,Base
207,24/09/2020,Bogotá D.C.,226329.7361,Total,Pronostico,Base
208,25/09/2020,Bogotá D.C.,226162.0806,Total,Pronostico,Base
209,26/09/2020,Bogotá D.C.,225966.2267,Total,Pronostico,Base
210,27/09/2020,Bogotá D.C.,225742.4006,Total,Pronostico,Base
211,28/09/2020,Bogotá D.C.,225490.8381,Total,Pronostico,Base
212,29/09/2020,Bogotá D.C.,225211.783,Total,Pronostico,Base
213,30/09/2020,Bogotá D.C.,224905.4873,Total,Pronostico,Base
214,1/10/2020,Bogotá D.C.,224572.2099,Total,Pronostico,Base
215,2/10/2020,Bogotá D.C.,224212.2168,Total,Pronostico,Base
216,3/10/2020,Bogotá D.C.,223825.7799,Total,Pronostico,Base
217,4/10/2020,Bogotá D.C.,223413.1771,Total,Pronostico,Base
188,5/09/2020,Bogotá D.C.,222665.7814,Total,LS,Base
189,6/09/2020,Bogotá D.C.,224442.4793,Total,LS,Base
